care_levels,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
id,level_code,level_name,is_deleted,,,,,,,,
1,INDEPENDENT_LIVING,Independent Living,0,,,,,,,,
2,ASSISTED_LIVING,Assisted Living,0,,,,,,,,
3,MEMORY_CARE,Memory Care Wing Services,0,,,,,,,,
4,SKILLED_NURSING,Skilled Nursing Care ,0,,,,,,,,
5,HOSPICE,Hospice Care ,0,,,,,,,,
,,,,,,,,,,,
care_level_rates,,,,,,,,,,,
id,care_level_id,facility_id,daily_rate,effective_from,effective_to,,,,,,
1,1,1,180.00,2024-01-01T00:00:00-04:00,2024-12-31T23:59:59-04:00,,,,,,
2,1,1,195.00,2025-01-01T00:00:00-04:00,,,,,,,
3,2,1,260.00,2024-01-01T00:00:00-04:00,2024-12-31T23:59:59-04:00,,,,,,
4,2,1,275.00,2025-01-01T00:00:00-04:00,,,,,,,
5,3,1,340.00,2024-01-01T00:00:00-04:00,2024-12-31T23:59:59-04:00,,,,,,
6,3,1,365.00,2025-01-01T00:00:00-04:00,,,,,,,
7,4,1,420.00,2024-01-01T00:00:00-04:00,2024-12-31T23:59:59-04:00,,,,,,
8,4,1,450.00,2025-01-01T00:00:00-04:00,,,,,,,
9,5,1,300.00,2025-01-01T00:00:00-04:00,,,,,,,
10,1,2,140.00,2024-01-01T00:00:00-04:00,2024-12-31T23:59:59-04:00,,,,,,
11,1,2,150.00,2025-01-01T00:00:00-04:00,,,,,,,
12,2,2,200.00,2024-01-01T00:00:00-04:00,2024-12-31T23:59:59-04:00,,,,,,
13,2,2,215.00,2025-01-01T00:00:00-04:00,,,,,,,
14,3,2,265.00,2024-01-01T00:00:00-04:00,2024-12-31T23:59:59-04:00,,,,,,
15,3,2,280.00,2025-01-01T00:00:00-04:00,,,,,,,
16,4,2,330.00,2025-01-01T00:00:00-04:00,,,,,,,
17,5,2,220.00,2025-01-01T00:00:00-04:00,,,,,,,
18,1,3,210.00,2024-06-01T00:00:00-04:00,2025-05-31T23:59:59-04:00,,,,,,
19,1,3,230.00,2025-06-01T00:00:00-04:00,,,,,,,
20,2,3,300.00,2024-06-01T00:00:00-04:00,2025-05-31T23:59:59-04:00,,,,,,
21,2,3,320.00,2025-06-01T00:00:00-04:00,,,,,,,
22,3,3,400.00,2025-06-01T00:00:00-04:00,,,,,,,
23,4,3,480.00,2025-06-01T00:00:00-04:00,,,,,,,
24,5,3,350.00,2025-06-01T00:00:00-04:00,,,,,,,
,,,,,,,,,,,
residents,,,,,,,,,,,
id,first_name,middle_name,last_name,date_of_birth,gender,marital_status,religion_preference,status,is_chart_locked,address_id,bed_id
1,Robert,James,Anderson,1938-04-12T00:00:00-04:00,MALE,Widowed,Catholic,ACTIVE,0,1,1
2,Mary,Ann,Thompson,1941-09-23T00:00:00-04:00,FEMALE,Widowed,Protestant,ACTIVE,0,2,2
3,William,Henry,Davis,1935-01-05T00:00:00-04:00,MALE,Married,Baptist,ACTIVE,0,3,3
4,Patricia,,Miller,1940-07-19T00:00:00-04:00,FEMALE,Divorced,Jewish,ACTIVE,0,4,4
5,John,Michael,Wilson,1933-11-30T00:00:00-04:00,MALE,Widowed,Methodist,DECEASED,1,5,
6,Linda,Sue,Moore,1945-03-08T00:00:00-04:00,FEMALE,Single,Atheist,ACTIVE,0,6,6
7,David,,Taylor,1937-06-14T00:00:00-04:00,MALE,Married,Lutheran,ACTIVE,0,7,7
8,Barbara,Jean,Jackson,1942-12-01T00:00:00-04:00,FEMALE,Widowed,Catholic,ACTIVE,0,8,8
9,Richard,Lee,White,1939-02-27T00:00:00-04:00,MALE,Divorced,Baptist,DISCHARGED,0,9,
10,Susan,,Harris,1948-05-16T00:00:00-04:00,FEMALE,Single,Presbyterian,ACTIVE,0,10,10
11,Charles,Edward,Martin,1936-08-22T00:00:00-04:00,MALE,Widowed,Buddhist,ACTIVE,0,11,11
12,Jessica,Marie,Thompson,1950-10-03T00:00:00-04:00,FEMALE,Married,Non-denominational,PENDING,0,12,
13,Thomas,,Garcia,1934-04-29T00:00:00-04:00,MALE,Widowed,Catholic,ACTIVE,0,13,13
14,Karen,Lynn,Martinez,1943-09-11T00:00:00-04:00,FEMALE,Widowed,Protestant,ACTIVE,1,14,14
15,Daniel,Ray,Robinson,1938-01-25T00:00:00-04:00,MALE,Married,Jewish,ACTIVE,0,15,15
16,Nancy,,Clark,1946-06-07T00:00:00-04:00,FEMALE,Divorced,Methodist,ACTIVE,0,16,16
17,Paul,Anthony,Rodriguez,1932-11-14T00:00:00-04:00,MALE,Widowed,Catholic,DECEASED,1,17,
18,Betty,Jo,Lewis,1944-03-19T00:00:00-04:00,FEMALE,Single,Baptist,ACTIVE,0,18,18
19,Kenneth,,Walker,1937-07-02T00:00:00-04:00,MALE,Married,Lutheran,ACTIVE,0,19,19
20,Dorothy,May,Hall,1931-12-28T00:00:00-04:00,FEMALE,Widowed,Presbyterian,ACTIVE,0,20,20
,,,,,,,,,,,
resident_sensitive_info,,,,,,,,,,,
id,resident_id,ssn_encrypted,medical_record_number_encrypted,primary_insurance_id_encrypted,bank_account_encrypted,,,,,,
1,1,U2FsdGVkX1+abc123DEFghi456JKLmno789PQRstu012VWXyz==,U2FsdGVkX1+MRN0001aaaBBBcccDDDeeeFFFggg==,U2FsdGVkX1+INS0001hhhIIIjjjKKKlllLLLmmm==,U2FsdGVkX1+BANK0001nnnOOOpppQQQqqqRRRsss==,,,,,,
2,2,U2FsdGVkX1+bcd234EFGhij567KLMnop890QRStuv123WXYaz==,U2FsdGVkX1+MRN0002bbbCCCdddEEEfffGGGhhh==,U2FsdGVkX1+INS0002iiiJJJkkkLLLmmmMMMnnn==,U2FsdGVkX1+BANK0002ooOPPPqqqRRRrrrSSSttt==,,,,,,
3,3,U2FsdGVkX1+cde345FGHijk678LMNopq901RSTuvw234XYZba==,U2FsdGVkX1+MRN0003cccDDDeeeFFFgggHHHiii==,U2FsdGVkX1+INS0003jjjKKKlllMMMnnnNNNooo==,U2FsdGVkX1+BANK0003pppQQQrrrSSSsssTTTuuu==,,,,,,
4,4,U2FsdGVkX1+def456GHIjkl789MNOpqr012STUvwx345YZAcb==,,U2FsdGVkX1+INS0004kkkLLLmmmNNNooooOOPpp==,U2FsdGVkX1+BANK0004qqqRRRsssTTTtttUUUvvv==,,,,,,
5,5,U2FsdGVkX1+efg567HIJklm890NOPqrs123TUVwxy456ZABdc==,U2FsdGVkX1+MRN0005eeeFFFgggHHHiiiIIIjjj==,U2FsdGVkX1+INS0005lllMMMnnnOOOpppPPPqqq==,,,,,,,
6,6,U2FsdGVkX1+fgh678IJKlmn901OPQrst234UVWxyz567ABCed==,U2FsdGVkX1+MRN0006fffGGGhhhIIIjjjJJJkkk==,U2FsdGVkX1+INS0006mmmNNNooopppQQQqqqRRR==,U2FsdGVkX1+BANK0006rrrSSSsssTTTtttUUUwww==,,,,,,
7,7,U2FsdGVkX1+ghi789JKLmno012PQRstu345VWXyza678BCDfe==,U2FsdGVkX1+MRN0007gggHHHiiiJJJkkkKKKlll==,,U2FsdGVkX1+BANK0007sssTTTtttUUUuuuVVVxxx==,,,,,,
8,8,U2FsdGVkX1+hij890KLMnop123QRStuv456WXYzab789CDEgf==,U2FsdGVkX1+MRN0008hhhIIIjjjKKKlllLLLmmm==,U2FsdGVkX1+INS0008oooPPPqqqRRRrrrSSStttt==,U2FsdGVkX1+BANK0008tttUUUuuuVVVvvvWWWyyy==,,,,,,
9,9,U2FsdGVkX1+ijk901LMNopq234RSTuvw567XYZabc890DEFhg==,U2FsdGVkX1+MRN0009iiiJJJkkkLLLmmmMMMnnn==,U2FsdGVkX1+INS0009pppQQQrrrSSSsssTTTuuuu==,U2FsdGVkX1+BANK0009uuuVVVvvvWWWwwwXXXzzz==,,,,,,
10,10,U2FsdGVkX1+jkl012MNOpqr345STUvwx678YZAbcd901EFGih==,,U2FsdGVkX1+INS0010qqqRRRsssTTTtttUUUvvvv==,U2FsdGVkX1+BANK0010vvvWWWwwwXXXxxxYYYaaa==,,,,,,
11,11,U2FsdGVkX1+klm123NOPqrs456TUVwxy789ZABcde012FGHji==,U2FsdGVkX1+MRN0011kkkLLLmmmNNNooooOOOppp==,U2FsdGVkX1+INS0011rrrSSSsssTTTtttUUUwwww==,U2FsdGVkX1+BANK0011wwwXXXxxxYYYyyyZZZbbb==,,,,,,
12,12,U2FsdGVkX1+lmn234OPQrst567UVWxyz890ABCdef123GHIkj==,U2FsdGVkX1+MRN0012lllMMMnnnOOOpppPPPqqq==,U2FsdGVkX1+INS0012sssTTTtttUUUuuuVVVxxxx==,,,,,,,
13,13,U2FsdGVkX1+mno345PQRstu678VWXyza901BCDefg234HIJlk==,U2FsdGVkX1+MRN0013mmmNNNooopppQQQqqqRRR==,U2FsdGVkX1+INS0013tttUUUuuuVVVvvvWWWyyyy==,U2FsdGVkX1+BANK0013yyyZZZzzzAAAaaaBBBccc==,,,,,,
14,14,U2FsdGVkX1+nop456QRStuv789WXYzab012CDEfgh345IJKml==,U2FsdGVkX1+MRN0014nnnOOOpppQQQqqqRRRsss==,U2FsdGVkX1+INS0014uuuVVVvvvWWWwwwXXXzzzz==,U2FsdGVkX1+BANK0014zzzAAAbbbCCCcccDDDddd==,,,,,,
15,15,U2FsdGVkX1+opq567RSTuvw890XYZabc123DEFghi456JKLnm==,U2FsdGVkX1+MRN0015oooPPPqqqRRRrrrSSSttt==,,U2FsdGVkX1+BANK0015aaaBBBcccDDDdddEEEeee==,,,,,,
